,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_cere,param_alpha_cor,param_lambda_cere,param_lambda_cor,param_rank,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
299,71.90351104736328,27.11628916521643,0.10571924845377605,0.012798119158898546,100,100,100,1000,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 100, 'lambda_cor': 1000, 'rank': 1}",-0.1339828449789358,-0.10584921856328941,-0.1668079338689839,-0.1355466658037364,0.024910846293789885,289
300,73.82931892077129,14.07586374349267,0.10341668128967285,0.0048393464009970156,100,100,1000,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1000, 'lambda_cor': 0.1, 'rank': 1}",-0.1351706980121168,-0.10874812193174815,-0.16531404808724537,-0.13641095601037012,0.02310958935714731,337
301,62.440831104914345,21.47568785526211,0.11170164744059245,0.010171099967014883,100,100,1000,1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1000, 'lambda_cor': 1, 'rank': 1}",-0.13517484586772174,-0.10876522764059517,-0.16536468745521468,-0.1364349203211772,0.02312380524550217,340
302,81.87379360198975,13.703129501492858,0.1113596757253011,0.008488008877397885,100,100,1000,100,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1000, 'lambda_cor': 100, 'rank': 1}",-0.13550446375155561,-0.10943276260624192,-0.16699722840196565,-0.13731148491992107,0.023535305744263626,358
303,72.4381803671519,27.982912884945975,0.1008898417154948,0.0016436187005855769,100,100,1000,1000,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 1000, 'lambda_cor': 1000, 'rank': 1}",-0.13587539954672886,-0.10978416330376395,-0.16797997036356577,-0.13787984440468617,0.023800578973726155,366
304,51.06014998753866,12.453108800081253,0.10805718104044597,0.007685218138485383,100,1000,0.1,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 0.1, 'lambda_cor': 0.1, 'rank': 1}",-0.13550294719400766,-0.10689268758141696,-0.16392041117838257,-0.1354386819846024,0.023281515016221662,276
305,51.56083027521769,6.430825386335143,0.10936578114827473,0.007898077532206813,100,1000,0.1,1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 0.1, 'lambda_cor': 1, 'rank': 1}",-0.13550548461839174,-0.10689132002531652,-0.16392729427963829,-0.13544136630778217,0.023284883124081886,277
306,49.591346422831215,3.695010941659072,0.11851437886555989,0.009778651499101608,100,1000,0.1,100,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 0.1, 'lambda_cor': 100, 'rank': 1}",-0.13569681937621586,-0.1068327442233153,-0.16429903042379188,-0.13560953134110768,0.0234605942922677,296
307,48.76384210586548,10.197559538652955,0.09777426719665527,0.002182327994848678,100,1000,0.1,1000,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 0.1, 'lambda_cor': 1000, 'rank': 1}",-0.1362271491431639,-0.10671193061240469,-0.16531246189121684,-0.13608384721559516,0.023923781308168295,324
308,45.1039244333903,0.11714517109738012,0.09742800394694011,0.0012163167293264318,100,1000,1,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1, 'lambda_cor': 0.1, 'rank': 1}",-0.13539532609323948,-0.10674406336096237,-0.16392057717851127,-0.13535332221090438,0.023342232916992448,273
309,46.62889711062113,1.1073960602713615,0.09845407803853352,0.0001996037091404775,100,1000,1,1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1, 'lambda_cor': 1, 'rank': 1}",-0.1353968304691121,-0.10675212709254632,-0.16392529321634788,-0.13535808359266877,0.02334086341084063,274
310,46.7005455493927,6.998652002256303,0.10238416989644368,0.0024996026569284353,100,1000,1,100,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1, 'lambda_cor': 100, 'rank': 1}",-0.13555376240014064,-0.10665417165047793,-0.1643057416332853,-0.13550455856130128,0.023536180603968736,281
311,50.24682887395223,13.805359013915343,0.10208423932393391,0.0036824133388916793,100,1000,1,1000,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 1, 'lambda_cor': 1000, 'rank': 1}",-0.135969693034923,-0.10644753895789405,-0.16532524669418425,-0.13591415956233377,0.024036755605321543,308
312,41.19909691810608,3.86633594859179,0.10471995671590169,0.004952449527109121,100,1000,100,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 1000, 'lambda_cere': 100, 'lambda_cor': 0.1, 'rank': 1}",-0.13619266441819675,-0.10875496801463143,-0.1659757055523931,-0.13697444599507377,0.023366808196197304,353
