,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
160,sparse,ridge,0,304,tessels0162,s24,6.0,0.9577112123692874,0.9475571274513165
161,sparse,lasso,1,304,tessels0162,s24,-1.0,0.9562090135361925,0.9410054704386924
162,sparse,WTA_old,2,304,tessels0162,s24,,0.6375413920944114,0.5996068725105272
163,sparse,WTA,3,304,tessels0162,s24,,0.8602508130760028,0.8091916168708074
164,sparse,ridge,0,304,tessels0162,s25,6.0,0.9496809889606553,0.9477628987536486
165,sparse,lasso,1,304,tessels0162,s25,-1.0,0.9481562548359193,0.9424088766337382
166,sparse,WTA_old,2,304,tessels0162,s25,,0.5838143855477441,0.6130416614608212
167,sparse,WTA,3,304,tessels0162,s25,,0.8453061594412566,0.813290796353154
168,sparse,ridge,0,304,tessels0162,s26,6.0,0.9519131455071347,0.9400970793750306
169,sparse,lasso,1,304,tessels0162,s26,-1.0,0.9501851989150991,0.933391563442755
170,sparse,WTA_old,2,304,tessels0162,s26,,0.6001141841715161,0.5782729640171727
171,sparse,WTA,3,304,tessels0162,s26,,0.8408665502571806,0.7491805788280979
172,sparse,ridge,0,304,tessels0162,s27,6.0,0.9650731037730423,0.9527673751194701
173,sparse,lasso,1,304,tessels0162,s27,-1.0,0.9637579938236414,0.9466700807075349
174,sparse,WTA_old,2,304,tessels0162,s27,,0.6730186254530423,0.6229745442420377
175,sparse,WTA,3,304,tessels0162,s27,,0.9202331929717076,0.8563121246440353
176,sparse,ridge,0,304,tessels0162,s28,6.0,0.9450732072559229,0.8741329021492178
177,sparse,lasso,1,304,tessels0162,s28,-1.0,0.9435123822865229,0.8570631991311838
178,sparse,WTA_old,2,304,tessels0162,s28,,0.5278233133472451,0.33458201719555963
179,sparse,WTA,3,304,tessels0162,s28,,0.8301454991012456,0.5838107703669831
180,sparse,ridge,0,304,tessels0162,s29,6.0,0.9567828900487646,0.9571869748540426
181,sparse,lasso,1,304,tessels0162,s29,-1.0,0.9553979766681155,0.9527360734742006
182,sparse,WTA_old,2,304,tessels0162,s29,,0.6365249044935305,0.6688113198807776
183,sparse,WTA,3,304,tessels0162,s29,,0.8666289996667322,0.82966295353941
184,sparse,ridge,0,304,tessels0162,s30,6.0,0.9160792990615442,0.8748476791123663
185,sparse,lasso,1,304,tessels0162,s30,-1.0,0.9135682824633363,0.8589976901398814
186,sparse,WTA_old,2,304,tessels0162,s30,,0.3986952346973981,0.3549092638537749
187,sparse,WTA,3,304,tessels0162,s30,,0.736029781072158,0.5514184623197832
188,sparse,ridge,0,304,tessels0162,s31,6.0,0.9335893669243617,0.905245892595203
189,sparse,lasso,1,304,tessels0162,s31,-1.0,0.9319252745539314,0.8950119140575081
190,sparse,WTA_old,2,304,tessels0162,s31,,0.47810643261104496,0.45447387678996104
191,sparse,WTA,3,304,tessels0162,s31,,0.7885366189855033,0.6655869289115602
192,normal,ridge,0,304,tessels0162,s02,4.0,0.8261804921635867,0.7421223444335506
193,normal,lasso,1,304,tessels0162,s02,-2.0,0.8209056300209854,0.7107865910366395
194,normal,WTA_old,2,304,tessels0162,s02,,0.04099802979533293,0.03085469835373145
195,normal,WTA,3,304,tessels0162,s02,,0.5428285633457818,0.35825723320926484
196,normal,ridge,0,304,tessels0162,s03,4.0,0.8273266369202288,0.7689448006986619
197,normal,lasso,1,304,tessels0162,s03,-2.0,0.8227302730683435,0.747558653126402
198,normal,WTA_old,2,304,tessels0162,s03,,0.034638142684604786,0.026294627413174995
199,normal,WTA,3,304,tessels0162,s03,,0.5175732114207227,0.42601855346126116
200,normal,ridge,0,304,tessels0162,s04,4.0,0.823141773125941,0.7513030705142975
201,normal,lasso,1,304,tessels0162,s04,-2.0,0.8183831986380689,0.7224105711279577
202,normal,WTA_old,2,304,tessels0162,s04,,0.03065082822684372,0.028453831692570944
203,normal,WTA,3,304,tessels0162,s04,,0.5157182407534501,0.39228504227719324
204,normal,ridge,0,304,tessels0162,s06,4.0,0.8265092333827593,0.7602917275605968
205,normal,lasso,1,304,tessels0162,s06,-2.0,0.8215405891339668,0.7333497251642533
206,normal,WTA_old,2,304,tessels0162,s06,,0.02329074995487097,0.015828204666328845
207,normal,WTA,3,304,tessels0162,s06,,0.5440234133253506,0.4191261613318684
208,normal,ridge,0,304,tessels0162,s08,4.0,0.8303115295053592,0.7649456449754511
209,normal,lasso,1,304,tessels0162,s08,-2.0,0.8254702059208608,0.7399055901135622
210,normal,WTA_old,2,304,tessels0162,s08,,0.022370612822123798,0.023888149324981095
211,normal,WTA,3,304,tessels0162,s08,,0.5380447101717534,0.41719014160726187
212,normal,ridge,0,304,tessels0162,s09,4.0,0.8302884713107849,0.7586539823472418
213,normal,lasso,1,304,tessels0162,s09,-2.0,0.8257221741061904,0.732985044391942
214,normal,WTA_old,2,304,tessels0162,s09,,0.009039714849758485,0.021171004908995508
215,normal,WTA,3,304,tessels0162,s09,,0.5241012003529878,0.42569362512723574
216,normal,ridge,0,304,tessels0162,s10,4.0,0.8309497625282057,0.7588956663908604
217,normal,lasso,1,304,tessels0162,s10,-2.0,0.8263079274958014,0.7341133622885413
218,normal,WTA_old,2,304,tessels0162,s10,,0.02091521172366662,0.024592151608883946
219,normal,WTA,3,304,tessels0162,s10,,0.5261407762476622,0.4204199481720144
