,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
767,31,20.0,plsregress,crossed,tesselsWB162,0.12693077992556517,0.13498577767949538,1.0,0.42701949616362195,1,0.014682629074946824,0.42402505635837107
768,2,1.0,l2regress,crossed,tesselsWB362,0.10744849440541084,0.12234209157418695,1.0,0.3966017480917159,1,0.007544354823681311,0.4301922237169686
769,2,1.8738174228603839,l2regress,crossed,tesselsWB362,0.10871566715729815,0.1243254411355462,1.0,0.40069722491558396,1,0.0075564446843406855,0.43026642628858247
770,2,3.511191734215131,l2regress,crossed,tesselsWB362,0.11085809259942644,0.12766027535920635,1.0,0.40723126465943243,1,0.007576502794703012,0.4303853311117669
771,2,6.579332246575679,l2regress,crossed,tesselsWB362,0.1142948472496006,0.13306408352880042,1.0,0.41762169153650863,1,0.007607372500556172,0.43056309380433155
772,2,12.32846739442066,l2regress,crossed,tesselsWB362,0.11937946582362023,0.14121937315754124,1.0,0.43302171889113555,1,0.007648519665712418,0.43079898508590936
773,2,23.101297000831593,l2regress,crossed,tesselsWB362,0.12620917985906735,0.1524625589425363,1.0,0.4533606054706501,1,0.0076963162986872025,0.43110748687513717
774,2,43.28761281083057,l2regress,crossed,tesselsWB362,0.13457103179699448,0.1666391030147774,1.0,0.4767485193530665,1,0.00773458769656152,0.43139855124859355
775,2,81.11308307896869,l2regress,crossed,tesselsWB362,0.1441053958924707,0.18334947001449206,1.0,0.5001100650622581,1,0.0077400141225010015,0.4314192356549697
776,2,151.99110829529332,l2regress,crossed,tesselsWB362,0.15440636941216057,0.20217375809028532,1.0,0.5208880101962557,1,0.007692462963896144,0.43094740696540973
777,2,284.8035868435799,l2regress,crossed,tesselsWB362,0.16472601514378207,0.22217813848885365,1.0,0.5388235164222279,1,0.0075805214958788595,0.42979864865036016
778,2,533.6699231206308,l2regress,crossed,tesselsWB362,0.1736503565552705,0.24118995486742043,1.0,0.555564909227216,1,0.007398638449936097,0.4276377983058182
779,2,1000.0,l2regress,crossed,tesselsWB362,0.17949550173349824,0.2563006786502185,1.0,0.5711930674187236,1,0.007141492226571063,0.4240985417510015
