,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
45,group,2.0,plsregress,crossed,tesselsWB362,0.4874790918423207,0.5986508621682242,1.0,0.8255768326178862,1,0.0039183629752236075,0.3331400850478133
46,group,3.0,plsregress,crossed,tesselsWB362,0.5120037515664758,0.6197437189735987,1.0,0.8361065618636747,1,0.004120983989240215,0.3575820201751599
47,group,4.0,plsregress,crossed,tesselsWB362,0.5461137356781091,0.6172961767441262,1.0,0.8953899718420429,1,0.0047974309999615555,0.3834999057495422
48,group,5.0,plsregress,crossed,tesselsWB362,0.5691153601163286,0.6272057293644496,1.0,0.9209467694131456,1,0.00496492593554079,0.3862218250019117
49,group,6.0,plsregress,crossed,tesselsWB362,0.5935957997004888,0.6549154481499693,1.0,0.9185726430076249,1,0.005232177424790791,0.39752071139684864
50,group,7.0,plsregress,crossed,tesselsWB362,0.6018704183110393,0.6606942341796229,1.0,0.9190494275320986,1,0.00540358668432514,0.401281694961459
51,group,8.0,plsregress,crossed,tesselsWB362,0.5805020248425571,0.613742865287697,1.0,0.9498003968579973,1,0.005797639138304847,0.4215113073652429
52,group,9.0,plsregress,crossed,tesselsWB362,0.5947146357883728,0.6244480288466996,1.0,0.9358113572457819,1,0.005994733735537562,0.4194203192561719
53,group,10.0,plsregress,crossed,tesselsWB362,0.5829788537125788,0.6143065485792475,1.0,0.9150254567498168,1,0.006132902019796001,0.4180003241512788
54,group,11.0,plsregress,crossed,tesselsWB362,0.591450372588549,0.6231224402504771,1.0,0.9105963304369552,1,0.0063052114582124764,0.4210182696931855
55,group,12.0,plsregress,crossed,tesselsWB362,0.5852003855671674,0.6198019368004226,1.0,0.9135422080465971,1,0.0067764781136980265,0.42164318150009994
56,group,13.0,plsregress,crossed,tesselsWB362,0.5881129246058832,0.6305412200647444,1.0,0.9100968793627566,1,0.007214710430527087,0.4305073062345039
57,group,14.0,plsregress,crossed,tesselsWB362,0.5927393887573921,0.6386854506441807,1.0,0.9076859124806385,1,0.007837417263374067,0.43446382032118663
58,group,15.0,plsregress,crossed,tesselsWB362,0.5904906902798319,0.6342279187999799,1.0,0.9098391108984178,1,0.007802851156531125,0.43452612098274784
59,group,16.0,plsregress,crossed,tesselsWB362,0.5877669051257822,0.6298769277631885,1.0,0.9088636573406937,1,0.008452412737235218,0.43564748458995173
60,group,17.0,plsregress,crossed,tesselsWB362,0.5842158522656329,0.625900076325268,1.0,0.9093684600443679,1,0.008539175155968186,0.43521892783139643
61,group,18.0,plsregress,crossed,tesselsWB362,0.5852808713517268,0.6285518687413657,1.0,0.9063043344254972,1,0.008921058635739327,0.43667939844430426
62,group,19.0,plsregress,crossed,tesselsWB362,0.5849375246653681,0.6289259159161099,1.0,0.9021159571602902,1,0.008822381940327181,0.43642142959674657
63,group,20.0,plsregress,crossed,tesselsWB362,0.5855942053273955,0.6291791418986019,1.0,0.9014499224332579,1,0.008737958653741142,0.43648694791749637
64,group,1.0,l2regress,crossed,tesselsWB642,0.5406599827159604,0.552519399132406,1.0,0.7843937062653483,1,0.005244009768007363,0.44112173131858
65,group,1.8738174228603839,l2regress,crossed,tesselsWB642,0.5453154487037526,0.5586603929689327,1.0,0.7918248121478665,1,0.00526115487405651,0.44112581580589216
66,group,3.511191734215131,l2regress,crossed,tesselsWB642,0.5524317800868521,0.56823647065834,1.0,0.8033645220880558,1,0.005289623176025448,0.4411215577190233
67,group,6.579332246575679,l2regress,crossed,tesselsWB642,0.5619472071018404,0.5814437168102127,1.0,0.8196180118856479,1,0.005335867802205756,0.4411054598964127
68,group,12.32846739442066,l2regress,crossed,tesselsWB642,0.5726739989820732,0.5970704553735922,1.0,0.8397450795767408,1,0.0054038080948469866,0.44101045923528526
69,group,23.101297000831593,l2regress,crossed,tesselsWB642,0.5826271973884203,0.6126219275677692,1.0,0.8612841105069348,1,0.00548677332667927,0.44069105093358574
70,group,43.28761281083057,l2regress,crossed,tesselsWB642,0.5904325506107746,0.6258783323783269,1.0,0.8811931335609301,1,0.005570547199479188,0.4399182025500284
71,group,81.11308307896869,l2regress,crossed,tesselsWB642,0.5964140022127392,0.6365860796926535,1.0,0.8972905998907764,1,0.005622790504061812,0.4385946983696098
72,group,151.99110829529332,l2regress,crossed,tesselsWB642,0.6019193445227121,0.6463347770054003,1.0,0.9088129964578097,1,0.0055790137782950324,0.4365457445016794
73,group,284.8035868435799,l2regress,crossed,tesselsWB642,0.6076327546845072,0.6567901317105844,1.0,0.9159018425488082,1,0.005376096542450928,0.43355773560458355
74,group,533.6699231206308,l2regress,crossed,tesselsWB642,0.612548651817838,0.6681289929878373,1.0,0.918545807925331,1,0.005001076126435931,0.42944871059692075
75,group,1000.0,l2regress,crossed,tesselsWB642,0.6141078773506428,0.6786858598294843,1.0,0.9156398107656554,1,0.004525305013582692,0.4241282566741875
76,group,1.0,plsregress,crossed,tesselsWB642,0.3292020923759047,0.4706175977851764,1.0,0.7375414419185278,1,0.001348907613248456,0.21071963203052224
77,group,2.0,plsregress,crossed,tesselsWB642,0.4888651321001554,0.5979513229980743,1.0,0.8299882293959084,1,0.0022481970014962363,0.33468107637782285
78,group,3.0,plsregress,crossed,tesselsWB642,0.5128859722369166,0.618604819415321,1.0,0.8399845966389646,1,0.002374981690317241,0.3577107004602145
79,group,4.0,plsregress,crossed,tesselsWB642,0.547196728523958,0.6173512209642351,1.0,0.8965602004983715,1,0.0028307537930075365,0.38204700359452
80,group,5.0,plsregress,crossed,tesselsWB642,0.5702830509370368,0.6280042808598602,1.0,0.9204107734642701,1,0.003060912744992746,0.3872956618907883
